	tape A		
t	L	θ	
0.000	0.000	0.000
0.067	0.000	0.000
0.133	0.000	0.000
0.200	0.000	0.000
0.267	0.000	0.000
0.333	0.000	0.000
0.400	0.000	0.000
0.467	0.000	0.000
0.533	0.000	0.000
0.600	0.000	0.000
0.667	0.000	0.000
0.733	0.000	0.000
0.800	0.000	0.000
0.867	0.000	0.000
0.933	0.000	0.000
1.000	0.000	0.000
1.067	0.000	0.000
1.133	0.000	0.000
1.200	0.000	0.000
1.267	0.000	0.000
1.333	0.000	0.000
1.400	0.000	0.000
1.467	0.000	0.000
1.533	0.000	0.000
1.600	0.000	0.000
1.667	0.000	0.000
1.733	0.000	0.000
1.800	0.000	0.000
1.867	0.000	0.000
1.933	0.000	0.000
2.000	0.000	0.000
2.067	0.000	0.000
2.133	0.000	0.000
2.200	0.000	0.000
2.267	0.000	0.000
2.333	0.000	0.000
2.400	0.000	0.000
2.467	0.000	0.000
2.533	0.000	0.000
2.600	0.000	0.000
2.667	0.000	0.000
2.733	0.000	0.000
2.800	0.000	0.000
2.867	0.000	0.000
2.933	0.000	0.000
3.000	0.000	0.000
3.067	0.000	0.000
3.133	0.000	0.000
3.200	0.000	0.000
3.267	0.000	0.000
3.333	0.000	0.000
3.400	0.000	0.000
3.467	0.000	0.000
3.533	0.000	0.000
3.600	0.000	0.000
3.667	0.000	0.000
3.733	0.000	0.000
3.800	0.000	0.000
3.867	0.000	0.000
3.933	0.000	0.000
4.000	0.000	0.000
4.066	0.000	0.000
4.133	0.000	0.000
4.200	0.000	0.000
4.266	0.000	0.000
4.333	0.000	0.000
4.400	0.000	0.000
4.466	0.000	0.000
4.533	0.000	0.000
4.600	0.000	0.000
4.666	0.000	0.000
4.733	0.000	0.000
4.800	0.000	0.000
4.866	0.000	0.000
4.933	0.000	0.000
5.000	0.000	0.000
5.066	0.000	0.000
5.133	0.000	0.000
5.200	0.000	0.000
5.266	0.000	0.000
5.333	0.000	0.000
5.400	0.000	0.000
